trial,n_cut,z_score,left_p_value
1,7.7401239267477395,-7.436761675159838,5.159173069775593e-14
2,7.712463595773537,-15.191998491046315,1.9977498993427463e-52
3,7.688941907345962,-10.24542748757392,6.203758628730586e-25
4,7.683742128884856,-12.332865735049127,3.013232634171745e-35
5,7.725606124511778,-10.716273067792258,4.2687255913523506e-27
