trial,n_cut,z_score,left_p_value
1,9.519095039962341,-16.15173971034846,5.520173054642841e-59
2,9.495164793436729,-21.71789232155227,6.9505953328774155e-105
3,9.491245564728207,-20.56910307940881,2.5958644817586333e-94
4,9.563702838200852,-14.539505937311063,3.4041124212041994e-48
5,9.560371567745802,-11.970185145631078,2.5457442163221445e-33
