trial,n_cut,z_score,left_p_value
1,9.920093497739467,-5.493534706733167,1.9698381951486388e-08
2,9.947275014667476,-3.5219805330529255,0.00021416779786785934
3,9.972660931098721,-4.1735601476698285,1.4993822260089544e-05
4,9.948939327911463,-5.0144941434642885,2.6586586089387625e-07
5,9.917757867644323,-5.434201363862775,2.752119797376825e-08
